nohup: ignoring input
--- ADVERSARIAL TRAINING WITH PAIRWISE RANKING ---
Device: cuda | Max Epochs: 100
Weights: ATE=1.0, Trust=5.0, Pairwise=3.0
E001 | Total: 2.7237 | ATE: 0.3517 | Trust: 0.2950 | Pair: 0.2990 | LR: 0.000100 | Time: 19.1s
E002 | Total: 2.3907 | ATE: 0.2804 | Trust: 0.2791 | Pair: 0.2383 | LR: 0.000100 | Time: 38.8s
E003 | Total: 2.1102 | ATE: 0.2389 | Trust: 0.2504 | Pair: 0.2064 | LR: 0.000100 | Time: 59.1s
E004 | Total: 2.0535 | ATE: 0.2534 | Trust: 0.2459 | Pair: 0.1903 | LR: 0.000100 | Time: 78.6s
E005 | Total: 2.0919 | ATE: 0.2573 | Trust: 0.2488 | Pair: 0.1968 | LR: 0.000099 | Time: 97.1s
E006 | Total: 2.0574 | ATE: 0.2676 | Trust: 0.2392 | Pair: 0.1980 | LR: 0.000099 | Time: 116.3s
E007 | Total: 2.0566 | ATE: 0.2530 | Trust: 0.2424 | Pair: 0.1971 | LR: 0.000099 | Time: 135.8s
E008 | Total: 1.9909 | ATE: 0.2269 | Trust: 0.2396 | Pair: 0.1886 | LR: 0.000098 | Time: 155.3s
E009 | Total: 2.0210 | ATE: 0.2446 | Trust: 0.2399 | Pair: 0.1922 | LR: 0.000098 | Time: 174.5s
E010 | Total: 2.0263 | ATE: 0.2565 | Trust: 0.2407 | Pair: 0.1888 | LR: 0.000098 | Time: 193.4s
E011 | Total: 2.0177 | ATE: 0.2295 | Trust: 0.2409 | Pair: 0.1945 | LR: 0.000097 | Time: 211.0s
E012 | Total: 2.0062 | ATE: 0.2614 | Trust: 0.2340 | Pair: 0.1916 | LR: 0.000096 | Time: 230.2s
E013 | Total: 1.9526 | ATE: 0.2316 | Trust: 0.2315 | Pair: 0.1879 | LR: 0.000096 | Time: 248.9s
E014 | Total: 1.9656 | ATE: 0.2636 | Trust: 0.2288 | Pair: 0.1861 | LR: 0.000095 | Time: 267.1s
E015 | Total: 1.9557 | ATE: 0.2467 | Trust: 0.2311 | Pair: 0.1844 | LR: 0.000095 | Time: 286.6s
E016 | Total: 1.8888 | ATE: 0.2522 | Trust: 0.2225 | Pair: 0.1746 | LR: 0.000094 | Time: 306.3s
E017 | Total: 1.8999 | ATE: 0.2594 | Trust: 0.2224 | Pair: 0.1762 | LR: 0.000093 | Time: 326.5s
E018 | Total: 1.8321 | ATE: 0.2481 | Trust: 0.2162 | Pair: 0.1676 | LR: 0.000092 | Time: 346.3s
E019 | Total: 1.8018 | ATE: 0.2374 | Trust: 0.2125 | Pair: 0.1673 | LR: 0.000091 | Time: 366.0s
E020 | Total: 1.7834 | ATE: 0.2611 | Trust: 0.2115 | Pair: 0.1549 | LR: 0.000090 | Time: 385.1s
E021 | Total: 1.7506 | ATE: 0.2456 | Trust: 0.2093 | Pair: 0.1528 | LR: 0.000090 | Time: 405.0s
E022 | Total: 1.6858 | ATE: 0.2381 | Trust: 0.1995 | Pair: 0.1500 | LR: 0.000089 | Time: 424.5s
E023 | Total: 1.6788 | ATE: 0.2540 | Trust: 0.1990 | Pair: 0.1432 | LR: 0.000088 | Time: 443.9s
E024 | Total: 1.6654 | ATE: 0.2596 | Trust: 0.1966 | Pair: 0.1409 | LR: 0.000086 | Time: 463.6s
E025 | Total: 1.6506 | ATE: 0.2432 | Trust: 0.1980 | Pair: 0.1392 | LR: 0.000085 | Time: 483.1s
E026 | Total: 1.6088 | ATE: 0.2411 | Trust: 0.1938 | Pair: 0.1329 | LR: 0.000084 | Time: 503.1s
E027 | Total: 1.6173 | ATE: 0.2642 | Trust: 0.1919 | Pair: 0.1312 | LR: 0.000083 | Time: 523.5s
E028 | Total: 1.5457 | ATE: 0.2388 | Trust: 0.1870 | Pair: 0.1239 | LR: 0.000082 | Time: 543.4s
E029 | Total: 1.5402 | ATE: 0.2509 | Trust: 0.1847 | Pair: 0.1219 | LR: 0.000081 | Time: 562.5s
E030 | Total: 1.5657 | ATE: 0.2700 | Trust: 0.1878 | Pair: 0.1190 | LR: 0.000079 | Time: 581.6s
E031 | Total: 1.4468 | ATE: 0.2465 | Trust: 0.1754 | Pair: 0.1078 | LR: 0.000078 | Time: 601.6s
E032 | Total: 1.4723 | ATE: 0.2422 | Trust: 0.1764 | Pair: 0.1160 | LR: 0.000077 | Time: 621.5s
E033 | Total: 1.5371 | ATE: 0.2459 | Trust: 0.1867 | Pair: 0.1192 | LR: 0.000075 | Time: 641.5s
E034 | Total: 1.4428 | ATE: 0.2400 | Trust: 0.1733 | Pair: 0.1122 | LR: 0.000074 | Time: 660.5s
E035 | Total: 1.4779 | ATE: 0.2508 | Trust: 0.1745 | Pair: 0.1181 | LR: 0.000073 | Time: 680.4s
E036 | Total: 1.4808 | ATE: 0.2495 | Trust: 0.1783 | Pair: 0.1133 | LR: 0.000071 | Time: 700.6s
E037 | Total: 1.4426 | ATE: 0.2682 | Trust: 0.1703 | Pair: 0.1077 | LR: 0.000070 | Time: 721.0s
